,symbol,isin,name,market
374,BAMNB.AS,NL0000337319,BAM GROEP KON,Euronext Amsterdam
375,BANI.BE,BE0003870871,BANIMMO A,Euronext Brussels
376,BAR.BE,BE0974362940,BARCO,Euronext Brussels
377,BARRA.OL,SGXZ33675836,BARRAMUNDI GROUP,Euronext Growth Oslo
378,BAS.BE,BE0003674851,BASILIX CERT,Euronext Brussels
379,BASS.PA,FR0004023208,BASSAC,Euronext Paris
380,BB.PA,FR0000120966,BIC,Euronext Paris
381,BBED.AS,NL0000339703,BETER BED,Euronext Amsterdam
382,BCART.BE,BE0974281132,BIOCARTIS,Euronext Brussels
383,BCP.LS,PTBCP0AM0015,B.COM.PORTUGUES,Euronext Lisbon
384,BCS.OL,NO0010950249,BERGEN CARBON SOL,Euronext Growth Oslo
385,BEAB.BE,BE0003661726,BEAULIEU-AV. CERT,Euronext Brussels
386,BEFB.BE,BE0003678894,BEFIMMO,Euronext Brussels
387,BEKB.BE,BE0974258874,BEKAERT,Euronext Brussels
388,BELR.BE,BE0020575115,BELRECA,Euronext Brussels
389,BELU.BE,BE0003723377,BELUGA,Euronext Brussels
390,BEN.PA,FR0000035164,BENETEAU,Euronext Paris
391,BERR.PA,FR0000062341,FIN.ETANG BERRE,Euronext Paris
392,BESI.AS,NL0012866412,BE SEMICONDUCTOR,Euronext Amsterdam
393,BEVER.AS,NL0000285278,BEVER HOLDING,Euronext Amsterdam
394,BFISH.OL,NO0010955198,BIOFISH HOLDING,Euronext Growth Oslo
395,BFIT.AS,NL0011872650,BASIC-FIT,Euronext Amsterdam
396,BGHL.AS,GG00B1FQG453,BOUSSARD GAVAUDAN,Euronext Amsterdam
397,BGHS.AS,GG00B39VMM07,BOUSSARD GHL GBP,Euronext Amsterdam
398,BIG.PA,FR0000074072,BIGBEN INTERACTIVE,Euronext Paris
399,BIM.PA,FR0013280286,BIOMERIEUX,Euronext Paris
400,BIRG.IR,IE00BD1RP616,BANK OF IRELAND GP,Euronext Dublin
401,BLC.PA,FR0000035370,BASTIDE LE CONFORT,Euronext Paris
402,BLEE.PA,FR0000062150,BLEECKER,Euronext Paris
403,BLUBT.PA,FR0013480985,BLUELINEA BSA Y,Euronext Growth Paris
404,BLV.PA,FR0014003FE9,BELIEVE,Euronext Paris
405,BN.PA,FR0000120644,DANONE,Euronext Paris
406,BNB.BE,BE0003008019,BQUE NAT. BELGIQUE,Euronext Brussels
407,BNBS.PA,FR0014007951,DRONE VOLT BS26,Euronext Growth Paris
408,BNP.PA,FR0000131104,BNP PARIBAS ACT.A,Euronext Paris
409,BOI.PA,FR0000061129,BOIRON,Euronext Paris
410,BOKA.AS,NL0000852580,BOSKALIS WESTMIN,Euronext Amsterdam
411,BOL.PA,FR0000039299,BOLLORE,Euronext Paris
412,BOLS.AS,NL0010998878,LUCASBOLS,Euronext Amsterdam
413,BON.PA,FR0000063935,BONDUELLE,Euronext Paris
414,BOTHE.BE,BE0974280126,BONE THERAPEUTICS,Euronext Brussels
415,BPOST.BE,BE0974268972,BPOST,Euronext Brussels
416,BPSBS.PA,FR0013507290,BIOPHYTIS BSA,Euronext Growth Paris
417,BRA.OL,NO0010167331,BRABANK,Euronext Growth Oslo
418,BREB.BE,LU1068091351,BREDERODE,Euronext Brussels
419,BRILL.AS,NL0000442523,BRILL KON,Euronext Amsterdam
420,BRNL.AS,NL0010776944,BRUNEL INTERNAT,Euronext Amsterdam
421,BSD.PA,FR0000074254,BOURSE DIRECT,Euronext Paris
422,BSGR.AS,LU1789205884,B&S Group,Euronext Amsterdam
423,BSP.OL,NO0010755101,BLACK SEA PROPERTY,Euronext Growth Oslo
424,BTLS.BE,BE0974386188,BIOTALYS,Euronext Brussels
425,BUI.PA,FR0000062788,BARBARA BUI,Euronext Paris
426,BUR.PA,FR0000061137,BURELLE,Euronext Paris
427,BVI.PA,FR0006174348,BUREAU VERITAS,Euronext Paris
428,BWEK.OL,SGXZ80461361,BW Epic Kosan,Euronext Growth Oslo
429,BWIDL.OL,NO0010947385,BW IDEOL,Euronext Growth Oslo
430,C5H.IR,IE00BWY4ZF18,CAIRN HOMES PLC,Euronext Dublin
431,CA.PA,FR0000120172,CARREFOUR,Euronext Paris
432,CAF.PA,FR0000045528,CRCAM PARIS ET IDF,Euronext Paris
433,CAFO.PA,FR0010151589,CAFOM,Euronext Paris
434,CAMB.BE,BE0003825420,CAMPINE,Euronext Brussels
435,CAMBI.OL,NO0010078850,CAMBI,Euronext Growth Oslo
436,CAN.OL,NO0010781560,CANOPY HOLDINGS,Euronext Growth Oslo
437,CAND.BE,BE0974298300,CANDELA INVEST,Euronext Growth Brussels
438,CAP.PA,FR0000125338,CAPGEMINI,Euronext Paris
439,CAPLI.PA,FR0012969095,CAPELLI,Euronext Paris
440,CAPSL.OL,NO0010923121,CO2 CAPSOL,Euronext Growth Oslo
441,CARBN.OL,NO0010778095,CARBON TRANSITION,Euronext Expand Oslo
442,CARM.PA,FR0010828137,CARMILA,Euronext Paris
443,CARP.PA,FR0000064156,CARPINIENNE PART.,Euronext Paris
444,CAS.PA,FR0000072894,CAST,Euronext Paris
445,CAT31.PA,FR0000045544,CA TOULOUSE 31 CCI,Euronext Paris
446,CATG.PA,FR0010193052,CATANA GROUP,Euronext Paris
447,CATR.PA,US1491231015,CATERPILLAR INC,Euronext Paris
448,CBDG.PA,FR0000079659,CAMBODGE NOM.,Euronext Paris
449,CBE.PA,FR0000045601,ROBERTET CI,Euronext Paris
450,CBOT.PA,FR0010193979,CBO TERRITORIA,Euronext Paris
451,CBR.PA,FR0000045619,ROBERTET CDV 87,Euronext Paris
452,CBSM.PA,FR0006239109,SCBSM,Euronext Paris
453,CCEP.AS,GB00BDCPN049,Coca-ColaEuropacif,Euronext Amsterdam
454,CCN.PA,FR0000044364,CRCAM NORM.SEINE,Euronext Paris
455,CDA.PA,FR0000053324,ALPES (COMPAGNIE),Euronext Paris
456,CDI.PA,FR0000130403,CHRISTIAN DIOR,Euronext Paris
457,CDU.LS,PTCDU0AE0003,CONDURIL,Euronext Access Lisbon
458,CEN.PA,FR0000036675,GROUPE CRIT,Euronext Paris
459,CENER.BE,BE0974303357,CENERGY,Euronext Brussels
460,CFEB.BE,BE0003883031,CFE,Euronext Brussels
461,CFI.PA,FR0000037475,CFI,Euronext Paris
462,CGG.PA,FR0013181864,CGG,Euronext Paris
463,CGGBS.PA,FR0013309614,CGG BSA 1,Euronext Paris
464,CGGBT.PA,FR0013309622,CGG BSA 2,Euronext Paris
465,CGM.PA,FR0000053506,CEGEDIM,Euronext Paris
466,CHSR.PA,FR0000060907,CHAUSSERIA,Euronext Paris
467,CIB.PA,FR0000054322,CIBOX INTER A CTIV,Euronext Paris
468,CIRCA.OL,NO0010917594,CIRCA GROUP,Euronext Growth Oslo
469,CIV.PA,FR0000045213,CRCAM ILLE-VIL.CCI,Euronext Paris
470,CJBS.PA,FR0014007HU2,CROSSJECT BS,Euronext Growth Paris
471,CLA.PA,FR0013426004,CLARANOVA,Euronext Paris
472,CLB.AS,NL0000200384,CORE LABORATORIES,Euronext Amsterdam
473,CLEX.BE,BE0003463685,CUMULEX,Euronext Brussels
474,CMCOM.AS,NL0012747059,CM.COM,Euronext Amsterdam
475,CMO.PA,FR0000045551,CRCAM MORBIHAN CCI,Euronext Paris
476,CNF.PA,FR0000185514,CRCAM NORD CCI,Euronext Paris
477,CNP.PA,FR0000120222,CNP ASSURANCES,Euronext Paris
478,CNV.PA,NL0010949392,CNOVA,Euronext Paris
479,CO.PA,FR0000125585,CASINO GUICHARD,Euronext Paris
480,COBH.BE,BE0003519270,CO.BR.HA,Euronext Growth Brussels
481,COFA.PA,FR0010667147,COFACE,Euronext Paris
482,COFB.BE,BE0003593044,COFINIMMO,Euronext Brussels
483,COH.PA,FR0004031763,COHERIS,Euronext Paris
484,COLR.BE,BE0974256852,COLRUYT,Euronext Brussels
485,COM.PA,FR0000053399,CNIM GROUP,Euronext Paris
486,COMB.BE,BE0003592038,CIE BOIS SAUVAGE,Euronext Brussels
487,COR.LS,PTCOR0AE0006,CORTICEIRA AMORIM,Euronext Lisbon
488,CORRE.IR,NL0015000DY3,CORRE ENERGY B.V.,Euronext Growth Dublin
489,COUR.PA,FR0000065393,COURTOIS,Euronext Paris
490,COV.PA,FR0000064578,COVIVIO,Euronext Paris
491,COVH.PA,FR0000060303,COVIVIO HOTELS,Euronext Paris
492,COX.PA,FR0013018124,NICOX,Euronext Paris
493,CPA.LS,PTCPA0AP0006,COPAM,Euronext Access Lisbon
494,CPA1.AS,KYG2581M1078,CRYSTAL PEAK SHARE,Euronext Amsterdam
495,CPA1W.AS,KYG2581M1151,CRYSTAL PEAK WAR,Euronext Amsterdam
496,CPINV.BE,BE0974273055,CARE PROPERTY INV.,Euronext Brussels
497,CRAP.PA,FR0000044323,CRCAM ALP.PROV.CCI,Euronext Paris
498,CRAV.PA,FR0000185506,CRCAM ATL.VEND.CCI,Euronext Paris
499,CRBN.AS,NL0010583399,CORBION,Euronext Amsterdam
500,CRBP2.PA,FR0010483768,CRCAM BRIE PIC2CCI,Euronext Paris
501,CRG.IR,IE0001827041,CRH PLC ord,Euronext Dublin
502,CRI.PA,FR0000130692,CHARGEURS,Euronext Paris
503,CRLA.PA,FR0010461053,CRCAM LANGUED CCI,Euronext Paris
504,CRLO.PA,FR0000045239,CRCAM LOIRE HTE L.,Euronext Paris
505,CROS.PA,FR0000050395,CROSSWOOD,Euronext Paris
506,CRSU.PA,FR0000045346,CRCAM SUD R.A.CCI,Euronext Paris
507,CRTO.PA,FR0000045304,CRCAM TOURAINE CCI,Euronext Paris
508,CS.PA,FR0000120628,AXA,Euronext Paris
509,CSAM.OL,NO0010894512,CSAM HEALTH GROUP,Euronext Growth Oslo
510,CSNV.PA,FR00140074K5,AXA NV22,Euronext Paris
511,CSS.OL,AU000000CSS3,CLEAN SEAS SEAFOOD,Euronext Growth Oslo
512,CTAC.AS,NL0000345577,CTAC,Euronext Amsterdam
513,CTCA1.AS,NL0015000DC9,CTC ORD SHARES,Euronext Amsterdam
514,CTCT1.AS,NL0015000F09,CTC TREAS SHARES,Euronext Amsterdam
515,CTCW1.AS,NL0015000DD7,CTC WARRANTS,Euronext Amsterdam
516,CTPNV.AS,NL00150006R6,CTP,Euronext Amsterdam
517,CTRG.PA,FR0000064446,CATERING INTL SCES,Euronext Paris
518,CTT.LS,PTCTT0AM0001,CTT CORREIOS PORT,Euronext Lisbon
519,CUR.LS,PTCUR0AP0000,AGUAS DA CURIA,Euronext Access Lisbon
520,CV.PA,BMG9887P1068,ZCI LIMITED,Euronext Paris
521,CYAD.BE,BE0974260896,CELYAD ONCOLOGY,Euronext Brussels
522,CYBBT.PA,FR0013340817,CYBERGUN BSA 2,Euronext Growth Paris
523,CYBK1.PA,FR0013507977,CYBERGUN BSA K1,Euronext Growth Paris
524,CYBKA.PA,FR0013507985,CYBERGUN BSA K2A,Euronext Growth Paris
525,CYBKB.PA,FR0013508009,CYBERGUN BSA K2B,Euronext Growth Paris
526,CYVIZ.OL,NO0010015175,CYVIZ,Euronext Growth Oslo
527,DBG.PA,FR0000053381,DERICHEBOURG,Euronext Paris
528,DBV.PA,FR0010417345,DBV TECHNOLOGIES,Euronext Paris
529,DCACS.AS,GG00BMB5XZ39,DISRUPTIVE CAP SHA,Euronext Amsterdam
530,DCACW.AS,GG00BMB5XY22,DISRUPTIVE CAP WAR,Euronext Amsterdam
531,DD7D.IR,IE0000730808,BANK OF IR NCP STF,Euronext Dublin
532,DD7E.IR,IE0000730790,BANK OF IR NC PREF,Euronext Dublin
533,DD8A.IR,IE0001827264,CRH PLC 5PCCumPref,Euronext Dublin
534,DD8B.IR,IE0001827603,CRH PLC 7PCCumPref,Euronext Dublin
535,DEC.PA,FR0000077919,JC DECAUX SA.,Euronext Paris
536,DECB.BE,BE0003789063,DECEUNINCK,Euronext Brussels
537,DEE.PA,FR0014003G01,DEE TECH SHARES,Euronext Paris
538,DEEW.PA,FR0014003G19,DEE TECH WARRANTS,Euronext Paris
539,DG.PA,FR0000125486,VINCI,Euronext Paris
540,DGB.AS,NL0009169515,DGB GROUP N.V.,Euronext Amsterdam
541,DGE.PA,GB0002374006,DIAGEO,Euronext Paris
542,DGM.PA,FR0012202497,DIAGNOSTIC MEDICAL,Euronext Paris
543,DHG.IR,IE00BJMZDW83,DALATA HOTEL GP.,Euronext Dublin
544,DIE.BE,BE0974259880,D'IETEREN GROUP,Euronext Brussels
545,DIEG.BE,BE0003698124,DIEGEM KENNEDYCERT,Euronext Brussels
546,DIM.PA,FR0013154002,SARTORIUS STED BIO,Euronext Paris
547,DISL.BE,BE0003605160,DISTRI-LAND CERT,Euronext Brussels
548,DKUPL.PA,FR0000062978,DEKUPLE,Euronext Paris
549,DLE.IR,IE0000527006,DATALEX PLC,Euronext Growth Dublin
550,DPA.AS,NL0009197771,DPA GROUP,Euronext Amsterdam
551,DPAM.PA,FR0000065260,DOCK.PETR.AMBES AM,Euronext Paris
552,DPT.PA,FR0000054199,ST DUPONT,Euronext Paris
553,DQ7A.IR,IE00BLRPQQ22,DONEGAL INVESTMENT,Euronext Growth Dublin
554,DSC2.AS,NL00150000S7,DSC2,Euronext Amsterdam
555,DSC2S.AS,NL00150002R5,DSC2 TREAS SHARES,Euronext Amsterdam
556,DSCW1.AS,NL00150000T5,DUTCH STAR C W11,Euronext Amsterdam
557,DSCW2.AS,NL00150000U3,DUTCH STAR C W12,Euronext Amsterdam
558,DSCW3.AS,NL00150000V1,DUTCH STAR C W13,Euronext Amsterdam
559,DSM.AS,NL0000009827,DSM KON,Euronext Amsterdam
560,DSRT.OL,NO0010963275,DESERT CONTROL,Euronext Growth Oslo
561,DSY.PA,FR0014003TT8,DASSAULT SYSTEMES,Euronext Paris
562,DSYNV.PA,FR00140078T7,DASSAULT SYS NV22,Euronext Paris
563,DVD.OL,NO0010955917,DEEP VALUE DRILLER,Euronext Growth Oslo
564,EAM.OL,NO0010607781,EAM SOLAR,Euronext Expand Oslo
565,EAS2P.AS,NL0000345627,EASE2PAY NV,Euronext Amsterdam
566,EBPF.PA,FR0000062507,FIN.ETANG BERRE PF,Euronext Paris
567,EBUS.AS,NL0015000CZ2,EBUSCO HOLDING,Euronext Amsterdam
568,EC.PA,GA0000121459,TOTAL GABON,Euronext Paris
569,ECIT.OL,NO0010939804,ECIT AS B-AKSJER,Euronext Growth Oslo
570,ECMPA.AS,NL0015000K93,EUROCOMMERCIAL,Euronext Amsterdam
571,ECO.OL,NO0010936891,ECOONLINE HOLDING,Euronext Growth Oslo
572,ECONB.BE,BE0974313455,ECONOCOM GROUP,Euronext Brussels
573,ECT.AS,GB00B94QM994,EUROCASTLE INVEST.,Euronext Amsterdam
574,EDEN.PA,FR0010908533,EDENRED,Euronext Paris
575,EDF.PA,FR0010242511,EDF,Euronext Paris
576,EDI.PA,FR0000064404,MEDIA 6,Euronext Paris
577,EDP.LS,PTEDP0AM0009,EDP,Euronext Lisbon
578,EDPR.LS,ES0127797019,EDP RENOVAVEIS,Euronext Lisbon
579,EEM.PA,FR0000035719,ELECT. MADAGASCAR,Euronext Paris
580,EFI.PA,FR0000061475,EURASIA FONC INV,Euronext Paris
581,EFIC1.AS,NL00150006Z9,EFIC1 ORD SHARES,Euronext Amsterdam
582,EFICT.AS,NL00150009J7,EFIC1 TREASURY SH,Euronext Amsterdam
583,EFICW.AS,NL00150007A0,EFIC1 WARRANTS,Euronext Amsterdam
584,EFUEL.OL,DK0061414711,EVERFUEL,Euronext Growth Oslo
585,EG7.IR,IE0003290289,FBD HOLDINGS PLC,Euronext Dublin
586,EGL.LS,PTMEN0AE0005,MOTA ENGIL,Euronext Lisbon
587,EGR.PA,FR0000035784,EVERGREEN,Euronext Paris
588,EHCS.AS,NL0015000K10,EHC ORD SHARES,Euronext Amsterdam
589,EHCT.AS,NL0015000K02,EHC TREAS SHARES,Euronext Amsterdam
590,EHCW.AS,NL0015000K28,EHC WARRANTS,Euronext Amsterdam
591,EIFF.PA,FR0000036816,TOUR EIFFEL,Euronext Paris
592,EKI.PA,FR0011466069,EKINOPS,Euronext Paris
593,EKOP.BE,BE0974380124,EKOPAK,Euronext Brussels
594,EL.PA,FR0000121667,ESSILORLUXOTTICA,Euronext Paris
595,ELABS.OL,NO0010722283,ELLIPTIC LABORATOR,Euronext Growth Oslo
596,ELEC.PA,FR0000031023,ELEC.STRASBOURG,Euronext Paris
597,ELI.BE,BE0003822393,ELIA GROUP,Euronext Brussels
598,ELIMP.OL,NO0010911902,ELEKTROIMPORTØREN,Euronext Growth Oslo
599,ELIOR.PA,FR0011950732,ELIOR GROUP,Euronext Paris
600,ELIS.PA,FR0012435121,ELIS,Euronext Paris
601,ELOP.OL,NO0010864036,ELOP,Euronext Growth Oslo
602,EN.PA,FR0000120503,BOUYGUES,Euronext Paris
603,ENGB.BE,BE0003575835,ROSIER,Euronext Brussels
604,ENGI.PA,FR0010208488,ENGIE,Euronext Paris
605,ENNV.PA,FR0014006U75,BOUYGUES NV22,Euronext Paris
606,ENTPA.AS,NL0015000F82,ENTP ORD SHARES,Euronext Amsterdam
607,ENTPT.AS,NL0015000F90,ENTP TREAS SHARES,Euronext Amsterdam
608,ENTPW.AS,NL0015000FD2,ENTP WARRANTS,Euronext Amsterdam
609,ENVI.AS,NL0015000GX8,ENVIPCO,Euronext Amsterdam
610,ENVIP.OL,NL0015000GX8,ENVIPCO HOLDING,Euronext Growth Oslo
611,ENX.PA,NL0006294274,EURONEXT,Euronext Paris
612,ENXP.LS,NL0006294274,EURONEXT,Euronext Lisbon
613,EO.PA,FR0000121147,FAURECIA,Euronext Paris
614,EOS.PA,FR0000076861,ACTEOS,Euronext Paris
615,EPIC.AS,KYG3166N1060,EPIC Ord Shares,Euronext Amsterdam
616,EPICW.AS,KYG3166N1144,EPIC WARRANTS,Euronext Amsterdam
617,ERA.PA,FR0000131757,ERAMET,Euronext Paris
618,ERF.PA,FR0014000MR3,EUROFINS SCIENT.,Euronext Paris
619,ERFNV.PA,FR0014006O73,EUROFINS SCIE NV22,Euronext Paris
620,ERYP.PA,FR0011471135,ERYTECH PHARMA,Euronext Paris
621,ES.PA,FR0000120669,ESSO,Euronext Paris
622,ESG.AS,NL00150006O3,ESG CORE INVEST,Euronext Amsterdam
623,ESGT.AS,NL00150006Q8,ESG CORE TREAS SHA,Euronext Amsterdam
624,ESGWA.AS,NL00150006P0,ESG CORE WARRANTS,Euronext Amsterdam
625,ESI.PA,FR0004110310,ESI GROUP,Euronext Paris
626,ESON.LS,PTESO0AM0000,ESTORIL SOL N,Euronext Lisbon
627,ESP.AS,NL0009272137,ESPERITE,Euronext Amsterdam
628,ETL.PA,FR0010221234,EUTELSAT COMMUNIC.,Euronext Paris
629,EUCAR.PA,FR0012789949,EUROPCAR MOBILITY,Euronext Paris
630,EUR.PA,FR0000054678,EURO RESSOURCES,Euronext Paris
631,EURN.BE,BE0003816338,EURONAV,Euronext Brussels
632,EURS.PA,FR0000038499,FONCIERE EURIS,Euronext Paris
633,EVS.BE,BE0003820371,EVS BROADC.EQUIPM.,Euronext Brussels
634,EXE.PA,FR0004527638,EXEL INDUSTRIES,Euronext Paris
635,EXM.BE,BE0003808251,EXMAR,Euronext Brussels
636,EXN.PA,FR0014005DA7,EXCLUSIVE NETWORKS,Euronext Paris
637,EXPL.PA,FR0014003AQ4,EXPLOSIFS PROD.CHI,Euronext Paris
638,EXR.IR,IE00BG0HDR01,ENGAGE XR HOLDINGS,Euronext Growth Dublin
639,EXTX.OL,NO0010852213,EXACT THERAPEUTICS,Euronext Growth Oslo
640,FAGR.BE,BE0003874915,FAGRON,Euronext Brussels
641,FALG.PA,FR0011271600,FERMENTALG,Euronext Paris
642,FAST.AS,NL0013654809,FASTNED,Euronext Amsterdam
643,FATL.PA,FR0013455482,FONCIERE ATLAND,Euronext Paris
644,FAUV.PA,FR0000063034,FAUVET GIREL,Euronext Paris
645,FAYE.PA,FR0000031973,FAYENC.SARREGUEMI.,Euronext Paris
646,FBEL.PA,FR0000121857,BEL,Euronext Paris
647,FCMC.PA,FR0000062101,FERM.CAS.MUN.CANNE,Euronext Paris
648,FCP.LS,PTFCP0AM0008,FUT.CLUBE PORTO,Euronext Lisbon
649,FDJ.PA,FR0013451333,FDJ,Euronext Paris
650,FFARM.AS,NL0011832811,FORFARMERS,Euronext Amsterdam
651,FGA.PA,FR0011665280,FIGEAC AERO,Euronext Paris
652,FGR.PA,FR0000130452,EIFFAGE,Euronext Paris
653,FII.PA,FR0000050353,LISI,Euronext Paris
654,FINM.PA,FR0000060824,FINANCIERE MARJOS,Euronext Paris
655,FIPP.PA,FR0000038184,FIPP,Euronext Paris
656,FLEXD.LS,PTFXD0AM0018,FLEXDEAL,Euronext Lisbon
657,FLO.PA,FR0014004X25,GROUPE FLO,Euronext Paris
658,FLOB.BE,BE0003215143,FLORIDIENNE,Euronext Brussels
659,FLOW.AS,NL0011279492,FLOW TRADERS,Euronext Amsterdam
660,FLTR.IR,IE00BWT6H894,FLUTTER ENTERTAIN,Euronext Dublin
661,FLUX.BE,BE0974265945,FLUXYS BELGIUM D,Euronext Brussels
662,FLY.PA,FR0000033409,FONCIERE LYONNAISE,Euronext Paris
663,FLYR.OL,NO0010931900,FLYR,Euronext Growth Oslo
664,FLYRT.OL,NO0011198111,FLYR TR,Euronext Growth Oslo
665,FNAC.PA,FR0011476928,FNAC DARTY,Euronext Paris
666,FNG.BE,BE0974332646,FNG NV,Euronext Brussels
667,FNTS.PA,FR0000035123,FINATIS,Euronext Paris
668,FOAF.PA,SN0000033192,FIN.OUEST AFRICAIN,Euronext Paris
669,FORE.PA,CI0000053161,FORESTIERE EQUAT.,Euronext Paris
670,FORSE.PA,FR0014005SB3,FORSEE POWER,Euronext Paris
671,FOU.BE,BE0003752665,FOUNTAIN,Euronext Brussels
672,FPG.PA,FR0000074197,UNION TECH.INFOR.,Euronext Paris
673,FPN.PA,FR0011277391,SPAC,Euronext Paris
674,FR.PA,FR0013176526,VALEO,Euronext Paris
675,FREY.PA,FR0010588079,FREY,Euronext Paris
676,FTI.PA,GB00BDSFG982,TECHNIPFMC,Euronext Paris
677,FUR.AS,NL00150003E1,FUGRO,Euronext Amsterdam
678,GALIM.PA,FR0000030611,GALIMMO,Euronext Paris
679,GALP.LS,PTGAL0AM0009,GALP ENERGIA-NOM,Euronext Lisbon
680,GAM.PA,FR0000034894,GAUMONT,Euronext Paris
681,GBLB.BE,BE0003797140,GBL,Euronext Brussels
682,GBT.PA,FR0000032526,GUERBET,Euronext Paris
683,GDS.PA,FR0000044471,RAMSAY GEN SANTE,Euronext Paris
684,GEA.PA,FR0000053035,GEA GRENOBL.ELECT.,Euronext Paris
685,GEM.OL,NO0010907744,GREEN MINERALS,Euronext Growth Oslo
686,GENK.BE,BE0003740546,GENK LOGIST. CERT,Euronext Brussels
687,GENX.PA,FR0010501692,GENERIX GROUP,Euronext Paris
688,GEOS.OL,NO0010813843,GOLDEN ENERGY OFF,Euronext Growth Oslo
689,GEPBS.PA,FR0013483047,GEP BSA 2020,Euronext Growth Paris
690,GET.PA,FR0010533075,GETLINK SE,Euronext Paris
691,GFC.PA,FR0010040865,GECINA,Euronext Paris
692,GID.PA,FR0000072373,EGIDE,Euronext Paris
693,GIGA.OL,NO0011013765,GIGANTE SALMON,Euronext Growth Oslo
694,GIMB.BE,BE0003699130,GIMV,Euronext Brussels
695,GJAJ.PA,FR0004010338,GROUPE JAJ,Euronext Paris
696,GL9.IR,IE0000669501,GLANBIA PLC,Euronext Dublin
697,GLE.PA,FR0000130809,SOCIETE GENERALE,Euronext Paris
698,GLINT.LS,PTPAD0AM0007,GLINTT,Euronext Lisbon
699,GLO.PA,FR0000066672,GL EVENTS,Euronext Paris
700,GLPG.AS,BE0003818359,GALAPAGOS,Euronext Amsterdam
701,GNE.PA,US3696043013,GENERAL ELECTRIC,Euronext Paris
702,GNFT.PA,FR0004163111,GENFIT,Euronext Paris
703,GNP.OL,NO0010886013,GNP ENERGY,Euronext Growth Oslo
704,GNRO.PA,CH0308403085,GENEURO,Euronext Paris
705,GOE.PA,FR0000062671,GROUPE GORGE,Euronext Paris
706,GOJXN.AS,NL0000430106,GEOJUNXION,Euronext Amsterdam
707,GPA.LS,PTGPA0AP0007,IMOB.C GRAO PARA,Euronext Lisbon
708,GPE.PA,FR0010214064,GPE GROUP PIZZORNO,Euronext Paris
709,GREEN.BE,BE0003765790,GREENYARD,Euronext Brussels
710,GREV.PA,FR0000037970,MUSEE GREVIN,Euronext Paris
711,GRONG.OL,NO0010636491,GRONG SPAREBANK,Euronext Growth Oslo
712,GRP.IR,IE00BF2NR112,GREENCOAT REN.,Euronext Growth Dublin
713,GRVO.PA,FR0000065971,GRAINES VOLTZ,Euronext Paris
714,GRW.IR,GB00BY7QYJ50,MOLTEN VENTURES,Euronext Dublin
715,GTBP.PA,US36254L2097,GT BIOPHARMA INC,Euronext Paris
716,GTT.PA,FR0011726835,GTT,Euronext Paris
717,GUI.PA,FR0000066722,GUILLEMOT,Euronext Paris
718,GUI1.IR,GB0002374006,DIAGEO PLC,Euronext Dublin
719,GV.PA,FR0011799907,GENOMIC VISION,Euronext Paris
720,GVOLT.LS,PTGNV0AM0001,GREENVOLT,Euronext Lisbon
721,GVR.IR,IE00BD6JX574,GLENVEAGH PROP.PLC,Euronext Dublin
722,GYQ.IR,GB0031477770,FD TECHNOLOGIES,Euronext Growth Dublin
723,HAL.AS,BMG455841020,HAL TRUST,Euronext Amsterdam
724,HAMO.BE,BE0974352842,HAMON,Euronext Brussels
725,HAUTO.OL,NO0011082075,HÖEGH AUTOLINERS,Euronext Growth Oslo
726,HAV.OL,NO0010931918,HAV GROUP,Euronext Growth Oslo
727,HBCN.IR,IE00014QAJZ5,HEALTHBEACON SHA,Euronext Growth Dublin
728,HBRN.IR,IE00BGHQ1986,HIBERNIA REIT PLC,Euronext Dublin
729,HCO.PA,FR0000054231,HIGH CO,Euronext Paris
730,HDF.PA,FR0014003VY4,HDF,Euronext Paris
731,HDG.AS,ANN4327C1220,HUNTER DOUGLAS,Euronext Amsterdam
732,HDLY.OL,NO0010776990,HUDDLY,Euronext Growth Oslo
733,HDP.PA,FR0004165801,HOTELS DE PARIS,Euronext Paris
734,HEGA.AS,KYG4406A1022,HEDOSOPHIA ORD SHA,Euronext Amsterdam
735,HEGAU.AS,KYG4406A1287,HEDOSOPHIA UNITS,Euronext Amsterdam
736,HEGAW.AS,KYG4406A1105,HEDOSOPHIA WARRANT,Euronext Amsterdam
737,HEIA.AS,NL0000009165,HEINEKEN,Euronext Amsterdam
738,HEIJM.AS,NL0009269109,HEIJMANS,Euronext Amsterdam
739,HEIO.AS,NL0000008977,HEINEKEN HOLDING,Euronext Amsterdam
740,HEXA.PA,FR0004159473,HEXAOM,Euronext Paris
741,HKY.OL,NO0011045429,HAVILA KYSTRUTEN,Euronext Growth Oslo
742,HMONY.OL,NO0010921299,HARMONYCHAIN,Euronext Growth Oslo
743,HMSO.IR,GB00BK7YQK64,HAMMERSON PLC,Euronext Dublin
744,HO.PA,FR0000121329,THALES,Euronext Paris
745,HOC.OL,NO0010781818,HOUSE OF CONTROL,Euronext Growth Oslo
746,HOLCO.AS,NL0000440311,HOLLAND COLOURS,Euronext Amsterdam
747,HOLN.PA,CH0012214059,Holcim Ltd,Euronext Paris
748,HOMI.BE,BE0003760742,HOME INVEST BE.,Euronext Brussels
749,HOP.PA,FR0000065278,HOPSCOTCH GROUPE,Euronext Paris
750,HPUR.OL,NO0010904923,HEXAGON PURUS,Euronext Growth Oslo
751,HRGI.OL,NO0010917339,HORISONT ENERGI,Euronext Growth Oslo
